occupation,age,gender,education,years_of_experience,current_salary,salary_10_years,salary_growth,growth_percentage
Project Manager,24,Male,Master,1,110011,208453,98442,89.48377889483778
Data Scientist,31,Other,Bachelor,1,119046,234181,115135,96.71471532012835
Data Engineer,34,Other,PhD,7,166375,436462,270087,162.33628850488356
Designer,48,Other,High School,13,87238,121874,34636,39.70288177170499
Software Engineer,27,Male,High School,2,117582,241889,124307,105.71941283529792
Software Engineer,58,Male,PhD,8,161921,430014,268093,165.570247219323
Product Manager,64,Male,Bachelor,37,145983,265781,119798,82.06297993601996
DevOps Engineer,58,Other,Bachelor,14,122096,232439,110343,90.37396802516054
Data Scientist,32,Female,Master,9,143683,321883,178200,124.02302290458857
DevOps Engineer,64,Other,Bachelor,23,160498,305547,145049,90.37433488267766
Software Engineer,35,Other,Master,5,163315,408443,245128,150.09521476900468
Software Engineer,42,Female,Bachelor,15,159642,344655,185013,115.89243432179501
Software Engineer,28,Male,Bachelor,2,145904,339122,193218,132.42817194867857
DevOps Engineer,25,Other,Master,0,130911,316805,185894,142.0002902735446
Project Manager,46,Other,Bachelor,20,117432,191284,73852,62.88916138701547
DevOps Engineer,53,Male,PhD,22,216929,512490,295561,136.24780458122243
DevOps Engineer,63,Female,Bachelor,38,150299,286130,135831,90.37385478279963
Software Engineer,30,Male,High School,5,113397,218934,105537,93.06859969840473
Data Engineer,62,Female,Master,4,149529,339643,190114,127.14189220820043
Software Engineer,37,Other,PhD,2,165599,461801,296202,178.86702214385352
Designer,58,Male,High School,22,90569,124462,33893,37.422296812375095
DevOps Engineer,38,Other,Master,7,161404,361582,200178,124.02294862580854
Product Manager,51,Female,Bachelor,21,144133,262413,118280,82.06309450299376
Software Engineer,53,Other,Bachelor,9,144788,301200,156412,108.02828963726276
Data Engineer,30,Female,PhD,6,161669,424117,262448,162.33662606931446
Designer,36,Other,Master,13,140340,224281,83941,59.81259797634316
Project Manager,30,Male,Master,0,94635,169476,74841,79.08384847043905
Data Engineer,61,Female,Master,0,125796,285736,159940,127.14235746764604
Data Scientist,22,Male,Master,0,149016,360620,211604,142.0008589681645
Software Engineer,50,Male,High School,6,106079,204805,98726,93.06837357064074
Software Engineer,26,Male,Master,1,174353,475783,301430,172.88489443829474
Business Analyst,60,Male,Bachelor,0,64383,97852,33469,51.984219436807855
Software Engineer,24,Male,Master,2,177441,484210,306769,172.8850716576214
Consultant,22,Male,Bachelor,0,103769,196625,92856,89.48337171987781
Designer,65,Male,PhD,40,164550,271371,106821,64.91704649042845
Data Engineer,62,Female,Master,14,170010,386164,216154,127.14193282748074
Product Manager,61,Female,Bachelor,17,147293,268166,120873,82.06296293781782
Data Scientist,27,Female,PhD,3,165371,444583,279212,168.83976029654534
Project Manager,49,Other,PhD,19,153461,294901,141440,92.16673943216843
Data Scientist,36,Male,Bachelor,3,128194,252177,123983,96.71513487370704
Data Engineer,35,Other,Master,7,143750,340308,196558,136.736
DevOps Engineer,52,Other,Master,10,163399,352113,188714,115.49275087362835
Data Scientist,30,Male,Bachelor,1,118321,232755,114434,96.71486887365725
Consultant,58,Male,PhD,31,177911,373386,195475,109.87235190629023
Software Engineer,40,Male,Master,11,184191,460653,276462,150.09528152841344
Business Analyst,49,Male,PhD,5,116943,210913,93970,80.35538681237868
Software Engineer,52,Other,PhD,2,157916,419378,261462,165.5703031991692
DevOps Engineer,43,Male,Bachelor,9,124787,245474,120687,96.71440133988315
Designer,61,Other,PhD,1,109520,180617,71097,64.91691015339664
Software Engineer,33,Female,Bachelor,2,135489,292510,157021,115.89206503849022
Data Scientist,59,Male,Bachelor,2,118223,225066,106843,90.37412347851095
Software Engineer,53,Male,Bachelor,27,162383,337802,175419,108.02793395860404
DevOps Engineer,31,Female,Master,6,159143,356517,197374,124.02304845327788
DevOps Engineer,27,Other,PhD,3,182627,490974,308347,168.83976629961617
DevOps Engineer,49,Male,PhD,7,153415,378464,225049,146.6929570120262
Designer,42,Male,Bachelor,2,94134,139341,45207,48.02409331378673
Project Manager,27,Female,Bachelor,0,96903,165524,68621,70.81411308215432
Project Manager,50,Other,PhD,6,132963,255511,122548,92.1669938253499
Designer,29,Female,Bachelor,2,105387,162103,56716,53.816884435461674
Designer,41,Other,PhD,11,135141,228661,93520,69.20179664202574
Data Engineer,56,Other,High School,30,122271,220133,97862,80.03696706496225
Software Engineer,42,Other,Master,18,192157,480575,288418,150.09497442195706
Product Manager,59,Female,Master,30,186396,380963,194567,104.38367776132536
Data Scientist,36,Other,High School,10,101099,180200,79101,78.24112998150328
Data Engineer,42,Male,PhD,9,179186,470070,290884,162.33634324110142
DevOps Engineer,40,Male,High School,10,116152,207031,90879,78.24144224808872
Consultant,44,Other,PhD,10,167108,364128,197020,117.89980132608852
Business Analyst,26,Male,PhD,2,114510,218662,104152,90.95450179023666
Data Scientist,63,Female,PhD,19,216049,510411,294362,136.24779563895228
Data Scientist,39,Other,Master,10,147861,331242,183381,124.02256173027371
Product Manager,46,Male,Master,8,133584,283101,149517,111.92732662594322
Designer,28,Male,Master,3,116882,195526,78644,67.28495405622765
Project Manager,43,Female,PhD,17,152566,293181,140615,92.16666885151345
Data Scientist,54,Female,PhD,14,196643,464565,267922,136.24792136002807
Designer,59,Female,PhD,2,118855,196012,77157,64.91691556939128
Data Scientist,59,Male,High School,1,98235,170240,72005,73.29872245126482
Project Manager,43,Other,PhD,19,135082,259583,124501,92.16698005655823
Project Manager,38,Female,Bachelor,15,110125,179382,69257,62.8894438138479
Business Analyst,48,Male,PhD,20,150257,270997,120740,80.35565730714708
Consultant,41,Other,Master,4,132904,266370,133466,100.42286161439837
Business Analyst,52,Other,High School,20,77366,110550,33184,42.89222655947057
DevOps Engineer,33,Other,PhD,0,153528,378743,225215,146.69311135428066
Data Engineer,55,Other,Bachelor,6,115282,229440,114158,99.02499956628094
Data Scientist,59,Female,Master,23,166545,358892,192347,115.49250953195833
DevOps Engineer,41,Male,Master,2,150604,337387,186783,124.0226023213195
Consultant,61,Other,PhD,10,141124,296180,155056,109.87216915620306
Project Manager,31,Female,High School,6,75594,114616,39022,51.620498981400644
DevOps Engineer,53,Male,High School,3,88702,153720,65018,73.29936190841244
Designer,39,Other,PhD,5,135430,229150,93720,69.20180166875876
Project Manager,23,Female,Master,0,103455,196030,92575,89.48335024890048
Product Manager,31,Female,PhD,7,158352,367209,208857,131.89413458623824
Project Manager,44,Female,Master,16,127748,228777,101029,79.0846040642515
Consultant,55,Female,Master,8,120213,232964,112751,93.79268465141041
Consultant,33,Female,PhD,7,154026,335622,181596,117.89957539636164
Business Analyst,38,Male,Master,8,113595,192205,78610,69.2019895241868
Product Manager,37,Male,Bachelor,8,121617,228291,106674,87.71306642985766
Designer,56,Other,Master,17,120061,187524,67463,56.1906031100857
Business Analyst,46,Other,PhD,7,108416,195534,87118,80.35529811097993
Software Engineer,27,Male,High School,2,122201,251391,129190,105.71926579978887
Designer,29,Other,PhD,0,132324,235634,103310,78.07351652005683
Designer,49,Female,Master,20,139207,222471,83264,59.813084112149525
Data Engineer,55,Female,High School,15,117857,212186,94329,80.03682428705974
Designer,29,Other,PhD,5,128933,229595,100662,78.07310773812756
Data Engineer,33,Other,Bachelor,0,120277,247894,127617,106.10257987811468
Product Manager,62,Male,Bachelor,30,136485,248489,112004,82.06323039161812
DevOps Engineer,43,Other,Master,3,125946,282148,156202,124.02299398154766
Data Scientist,38,Male,High School,3,98283,175181,76898,78.24140492251966
Software Engineer,29,Female,PhD,1,202029,620780,418751,207.27271827311918
Business Analyst,47,Other,Bachelor,14,103841,161261,57420,55.296077657187425
Business Analyst,49,Male,High School,24,94191,137097,42906,45.55212281428162
Business Analyst,39,Female,Bachelor,16,105101,163218,58117,55.2963340025309
Data Scientist,51,Female,High School,17,113410,196539,83129,73.29953266907681
Product Manager,38,Male,Bachelor,7,113158,212413,99255,87.71363933614946
Consultant,65,Female,PhD,30,166624,349697,183073,109.87192721336663
DevOps Engineer,30,Male,Bachelor,5,133012,261654,128642,96.71458214296455
Data Engineer,37,Female,Master,8,157925,373865,215940,136.7357923064746
Software Engineer,29,Female,High School,7,141486,291065,149579,105.72000056542696
Software Engineer,32,Female,Master,6,152183,380602,228419,150.09495147289775
Software Engineer,50,Female,High School,20,147572,284915,137343,93.06846827311414
Business Analyst,43,Female,PhD,17,133352,240508,107156,80.35575019497271
Data Engineer,56,Male,Bachelor,10,125659,250093,124434,99.02513946474188
Product Manager,61,Female,Master,18,170599,348677,178078,104.38396473601838
Software Engineer,59,Other,Bachelor,27,174979,364006,189027,108.02839197846599
Business Analyst,25,Other,High School,1,68343,103200,34857,51.00302883982266
DevOps Engineer,53,Male,Bachelor,16,143629,273432,129803,90.37381030293325
Business Analyst,40,Female,PhD,2,99721,179852,80131,80.35519098284213
Project Manager,63,Male,Master,17,134225,233659,99434,74.0800894021233
Software Engineer,25,Female,Master,1,150356,410299,259943,172.8850195535928
Consultant,45,Other,Master,22,175787,352317,176530,100.42267061841888
Consultant,24,Female,Master,1,117550,251908,134358,114.29859634198213
Designer,47,Male,Bachelor,19,123254,182446,59192,48.02440488746815
Data Engineer,24,Male,Master,1,168509,433111,264602,157.02544077764392
Software Engineer,33,Other,Master,8,172502,431419,258917,150.09507136149145
Data Scientist,41,Other,Master,11,174218,390288,216070,124.02277606217498
Business Analyst,22,Other,PhD,0,110039,210125,100086,90.95502503657794
Data Scientist,42,Other,Bachelor,19,161847,318377,156530,96.71479854430419
Designer,54,Female,High School,14,97676,134229,36553,37.42270363241738
DevOps Engineer,46,Female,Master,20,191647,429333,237686,124.02281277557175
Product Manager,64,Male,Bachelor,22,145110,264192,119082,82.06326235269795
Data Scientist,43,Other,High School,7,109937,195953,86016,78.24117449084476
Data Engineer,31,Female,PhD,8,199953,524550,324597,162.33664911254144
Project Manager,26,Other,Master,1,109367,207232,97865,89.48311647937678
Business Analyst,59,Other,High School,28,82435,117794,35359,42.89318857281494
Data Scientist,51,Other,High School,10,107278,185912,78634,73.29927851003933
Business Analyst,29,Male,Bachelor,6,93532,151629,58097,62.11457041440362
Designer,51,Female,PhD,8,116904,192795,75891,64.91736809690002
Product Manager,55,Other,PhD,30,177794,395963,218169,122.7088653160399
Software Engineer,61,Female,Master,36,211220,505566,294346,139.3551746993656
Software Engineer,63,Other,High School,20,142312,266137,123825,87.0095283602226
Designer,37,Other,Bachelor,7,90277,133632,43355,48.024413748795375
Software Engineer,47,Female,High School,12,118293,228387,110094,93.06890517613046
Software Engineer,27,Female,PhD,2,178494,548464,369970,207.273073604715
Project Manager,48,Other,High School,12,83630,126801,43171,51.62142771732632
Product Manager,27,Other,PhD,4,183007,459889,276882,151.29585207123225
Software Engineer,55,Male,Master,25,211982,507390,295408,139.35522827409875
DevOps Engineer,39,Female,Bachelor,3,120411,236866,116455,96.71458587670561
Business Analyst,36,Other,PhD,2,111061,200305,89244,80.3558404840583
Data Engineer,40,Other,High School,3,107373,199200,91827,85.5214998183901
Project Manager,38,Male,PhD,6,115041,221070,106029,92.16627115550108
Software Engineer,27,Male,Master,1,162788,444224,281436,172.88497923679878
Product Manager,25,Other,PhD,3,153935,386832,232897,151.2956767466788
DevOps Engineer,49,Female,High School,12,123227,219642,96415,78.2417814277715
Data Engineer,64,Other,Bachelor,30,172926,344166,171240,99.02501648103814
Data Scientist,65,Other,PhD,38,215893,510043,294150,136.24804880195282
Consultant,51,Other,PhD,9,138443,290553,152110,109.87193285323202
Data Scientist,50,Male,High School,6,109568,195295,85727,78.2409097546729
Business Analyst,27,Female,High School,1,69122,104377,35255,51.004021874367055
DevOps Engineer,27,Other,High School,1,112129,211372,99243,88.50787931757172
Project Manager,58,Male,Bachelor,9,90990,144721,53731,59.05154412572811
Project Manager,24,Other,Master,1,97078,183947,86869,89.48371412678465
Software Engineer,25,Other,PhD,0,186339,572569,386230,207.27276630227703
Product Manager,27,Female,PhD,2,180184,452794,272610,151.29534253873817
DevOps Engineer,32,Other,Bachelor,10,139396,274213,134817,96.71511377657896
Consultant,35,Other,PhD,0,126479,275597,149118,117.8994141319903
Consultant,31,Other,High School,2,90482,148795,58313,64.44707234588095
Product Manager,51,Other,Master,24,158423,323791,165368,104.38383315553928
Project Manager,46,Other,PhD,9,137583,264389,126806,92.16691015605124
Consultant,51,Female,Bachelor,22,137713,239731,102018,74.08015220059109
Consultant,55,Other,Bachelor,9,100825,175516,74691,74.07984130919911
Product Manager,28,Female,High School,6,106872,192795,85923,80.39804626094768
Data Scientist,63,Male,PhD,17,172049,406462,234413,136.24781312300564
Software Engineer,56,Female,Master,25,216604,518453,301849,139.35522889697327
Consultant,63,Other,PhD,11,144601,303477,158876,109.87199258649663
DevOps Engineer,23,Female,Master,1,144275,349146,204871,142.00034656038815
Project Manager,61,Other,Master,11,109272,190221,80949,74.08027674061059
Software Engineer,38,Male,Master,3,162326,405969,243643,150.09487081551939
Product Manager,50,Female,Bachelor,14,147251,276410,129159,87.71349600342273
Business Analyst,31,Female,PhD,6,105287,189891,84604,80.35559945672304
Product Manager,36,Other,High School,3,98271,168259,69988,71.21938313439367
DevOps Engineer,63,Male,Master,20,186284,401429,215145,115.49301067187734
Business Analyst,41,Male,PhD,5,107957,194706,86749,80.3551413988903
Data Scientist,26,Female,Bachelor,3,133044,279352,146308,109.96963410601003
Data Engineer,34,Female,Master,10,173692,411192,237500,136.736291826912
DevOps Engineer,57,Other,Bachelor,8,114673,218308,103635,90.37436885753402
Data Engineer,36,Female,Bachelor,8,126301,260310,134009,106.10288121234194
DevOps Engineer,26,Female,Bachelor,3,134916,283282,148366,109.96916599958493
Product Manager,25,Female,Bachelor,0,129349,258038,128689,99.48975252997704
Consultant,28,Other,Bachelor,3,121343,229925,108582,89.48353015831157
Data Engineer,52,Male,High School,18,138547,249436,110889,80.0370993236952
Data Scientist,23,Female,Master,1,145938,353171,207233,142.00071263139142
Software Engineer,60,Female,PhD,30,236225,627343,391118,165.57011323949624
Software Engineer,42,Other,Master,3,155790,389623,233833,150.09499967905512
Data Scientist,38,Other,PhD,0,148269,365769,217500,146.69283531958806
Software Engineer,63,Male,Master,6,145647,348614,202967,139.3554278495266
Project Manager,47,Other,PhD,10,142019,272913,130894,92.16654109661383
Data Engineer,63,Other,PhD,26,214882,538329,323447,150.52307778222468
Data Scientist,51,Female,High School,19,119426,206964,87538,73.29894662803744
Consultant,31,Male,PhD,9,143263,312169,168906,117.89924823576222
Project Manager,63,Female,High School,36,100453,149232,48779,48.55902760494958
Designer,64,Female,High School,26,104802,144022,39220,37.422949943703365
Data Scientist,46,Female,PhD,1,151760,374382,222622,146.69346336320507
Consultant,30,Female,PhD,8,144418,314686,170268,117.899430818873
DevOps Engineer,22,Female,Master,0,153223,370800,217577,142.0002218988011
DevOps Engineer,48,Female,PhD,1,159561,393626,234065,146.69311423217454
Data Scientist,33,Other,High School,4,102532,182754,80222,78.24093941403659
Business Analyst,31,Male,PhD,4,111556,201197,89641,80.3551579475779
Data Scientist,33,Female,PhD,5,154729,381706,226977,146.6932507803967
DevOps Engineer,35,Female,High School,12,127724,227657,99933,78.241364191538
Consultant,57,Male,PhD,19,183130,384339,201209,109.87222191885546
Data Engineer,37,Male,Master,10,179652,425301,245649,136.736022977757
Product Manager,35,Other,PhD,6,143399,332534,189135,131.894225203802
Designer,44,Male,PhD,13,133809,226407,92598,69.20162320920117
Software Engineer,65,Female,High School,33,139533,260940,121407,87.0095246285825
DevOps Engineer,35,Other,Master,10,142560,319367,176807,124.02286756453422
Data Engineer,44,Other,High School,7,120225,223043,102818,85.52131420253691
DevOps Engineer,30,Male,Master,5,154267,345593,191326,124.02263607900588
Designer,26,Male,Bachelor,3,93673,144085,50412,53.817001697394126
Project Manager,41,Male,Master,11,107671,192822,85151,79.08443313427014
Business Analyst,45,Female,Master,10,110862,187580,76718,69.20134942541178
Data Engineer,24,Female,PhD,0,167920,482734,314814,187.4785612196284
Product Manager,38,Male,Master,1,132954,281766,148812,111.92743354844532
Designer,54,Male,PhD,2,118781,195890,77109,64.91694799673348
Product Manager,41,Male,Master,8,155049,328591,173542,111.92719720862436
Data Engineer,59,Other,Bachelor,26,159950,318341,158391,99.02532041262894
Consultant,43,Other,Bachelor,10,107074,191753,84679,79.08455834282833
DevOps Engineer,47,Female,PhD,15,188336,464612,276276,146.69314416787017
Business Analyst,49,Male,Master,8,95756,162021,66265,69.20192990517565
Data Engineer,33,Other,PhD,6,164620,431858,267238,162.33628963673917
Designer,40,Other,Bachelor,5,88868,131546,42678,48.024035648377364
Designer,49,Female,High School,0,80725,112775,32050,39.70269433261072
Project Manager,28,Female,Master,2,121154,229567,108413,89.48363240173663
DevOps Engineer,59,Female,High School,11,107407,186135,78728,73.298760788403
Product Manager,45,Female,High School,15,107856,184670,76814,71.21903278445333
Consultant,25,Female,High School,2,102340,176642,74302,72.6030877467266
Business Analyst,32,Female,Bachelor,5,84999,132000,47001,55.295944658172445
Business Analyst,47,Other,Bachelor,24,97171,150903,53732,55.29633326815614
Data Engineer,35,Female,High School,2,106971,198454,91483,85.52130951379345
Software Engineer,51,Female,Master,19,188734,451745,263011,139.355389066093
Project Manager,59,Other,High School,37,95074,141241,46167,48.559017186612536
Consultant,43,Other,Bachelor,16,136800,244987,108187,79.08406432748538
Consultant,28,Female,Bachelor,4,106165,201165,95000,89.48335138699196
DevOps Engineer,65,Male,High School,33,118106,204677,86571,73.29940900546966
DevOps Engineer,47,Female,Master,3,144212,323068,178856,124.02296618866669
Data Scientist,56,Male,High School,7,98130,170058,71928,73.29868541730357
Data Engineer,64,Female,PhD,26,219116,548937,329821,150.523467022034
Consultant,37,Male,Bachelor,2,91912,164600,72688,79.08434154408565
DevOps Engineer,60,Male,High School,25,125813,218033,92220,73.2992616025371
Consultant,51,Female,PhD,21,173796,364749,190953,109.87191880135332
DevOps Engineer,28,Female,Bachelor,4,123278,258846,135568,109.96933759470464
Business Analyst,27,Male,Bachelor,5,92625,150159,57534,62.114979757085024
Project Manager,58,Other,Bachelor,17,103482,164590,61108,59.051815774724105
Product Manager,63,Male,Bachelor,32,135415,246541,111126,82.06328693276225
Designer,60,Other,Bachelor,8,100674,146180,45506,45.20134294852693
Business Analyst,64,Male,High School,14,79231,113215,33984,42.89230225543032
Business Analyst,39,Female,High School,2,63423,92313,28890,45.55129842486164
Data Scientist,58,Female,PhD,32,224179,529618,305439,136.24781982255251
DevOps Engineer,25,Female,Master,0,148209,358667,210458,142.00082316188625
Project Manager,65,Female,Bachelor,5,84694,134707,50013,59.051408600373115
Business Analyst,37,Male,High School,14,82270,119745,37475,45.551233742555006
Data Engineer,30,Male,Master,5,138429,327711,189282,136.73579957956787
Business Analyst,53,Female,High School,26,83508,119327,35819,42.892896488959146
Business Analyst,28,Other,Bachelor,4,80409,130355,49946,62.1149373826313
Data Engineer,49,Female,Master,14,183703,434891,251188,136.73592701262365
Designer,40,Male,High School,2,73378,102511,29133,39.702635667366245
Business Analyst,25,Other,Bachelor,2,78284,126910,48626,62.11486382913495
Project Manager,24,Male,Master,0,106822,202410,95588,89.48343974087734
Product Manager,36,Other,High School,6,90844,155542,64698,71.21879265554136
Consultant,58,Male,Bachelor,0,87188,151777,64589,74.08014864430885
Project Manager,46,Male,PhD,17,135165,259742,124577,92.16661117892946
Software Engineer,35,Female,PhD,8,178876,498826,319950,178.86692457344753
Business Analyst,26,Female,Master,2,95503,170065,74562,78.07294011706438
Data Scientist,49,Other,Master,18,173456,388581,215125,124.02280693662946
Consultant,25,Male,PhD,1,157955,370860,212905,134.78838909816088
Data Engineer,37,Female,Bachelor,7,128784,265427,136643,106.10246614486272
Product Manager,39,Female,High School,14,109713,187850,78137,71.21945439464785
Business Analyst,33,Female,High School,1,68019,99003,30984,45.55197812375954
Business Analyst,56,Other,Master,25,130957,215970,85013,64.91672839176218
Designer,22,Male,High School,0,78039,112661,34622,44.36499698868515
Business Analyst,40,Other,Bachelor,17,106740,165763,59023,55.29604646805322
Software Engineer,58,Other,Master,25,210150,503005,292855,139.3552224601475
Data Engineer,34,Female,PhD,6,179788,471650,291862,162.33675217478364
Designer,29,Other,PhD,3,139957,249226,109269,78.07326536007488
Designer,61,Female,High School,20,107649,147934,40285,37.42254921086122
Software Engineer,44,Other,Bachelor,10,149780,323363,173583,115.89197489651488
Data Scientist,54,Other,Master,20,174567,376179,201612,115.49261887985702
Business Analyst,65,Male,Master,17,104697,172663,67966,64.91685530626474
Project Manager,28,Female,Master,1,99831,189163,89332,89.48322665304364
Designer,52,Male,Master,20,142036,221847,79811,56.190684051930496
Software Engineer,49,Male,Master,16,197455,493825,296370,150.09495834493936
Data Scientist,62,Female,High School,5,107793,186804,79011,73.29882274359188
Designer,32,Male,Bachelor,1,94355,139668,45313,48.02395209580838
Business Analyst,54,Other,High School,23,77655,110963,33308,42.8922799562166
Software Engineer,45,Male,PhD,12,190981,532583,341602,178.8670077128091
Software Engineer,64,Male,PhD,33,243078,645543,402465,165.57031076444596
Data Scientist,44,Other,High School,18,129998,231710,101712,78.24120371082633
Designer,22,Male,Master,0,108327,181215,72888,67.2851643634551
Software Engineer,39,Other,Bachelor,1,120833,260869,140036,115.89218177153593
Designer,27,Female,High School,0,74280,107234,32954,44.364566505115775
Business Analyst,31,Female,Master,8,100396,169872,69476,69.20196023745966
Project Manager,30,Male,PhD,3,117900,226564,108664,92.16624257845632
Consultant,47,Male,High School,3,81589,134171,52582,64.4474132542377
Data Engineer,26,Male,High School,3,120990,238283,117293,96.94437556822878
Data Scientist,25,Male,High School,1,109856,207087,97231,88.50768278473639
Consultant,30,Other,PhD,4,124684,271686,147002,117.89965031599885
Product Manager,34,Female,High School,3,96498,165223,68725,71.21909262368132
Product Manager,28,Male,Bachelor,1,122062,243501,121439,99.48960364404974
Business Analyst,42,Other,Master,13,110541,187037,76496,69.2014727567147
Product Manager,46,Other,Master,17,163050,345548,182498,111.92762956148421
Business Analyst,23,Male,High School,0,73341,110748,37407,51.00421319589316
Business Analyst,27,Female,PhD,2,113708,217131,103423,90.95490202976045
Data Scientist,41,Female,Master,4,137623,308307,170684,124.02287408354708
Data Engineer,37,Other,Bachelor,15,161736,333343,171607,106.10315576000396
DevOps Engineer,65,Male,Master,34,197098,424732,227634,115.49280053577408
Software Engineer,57,Female,Master,6,141451,338570,197119,139.35497097934976
Software Engineer,61,Other,High School,7,101240,189328,88088,87.0090873172659
DevOps Engineer,38,Female,Master,12,178930,400844,221914,124.02280221315598
Data Scientist,27,Male,PhD,1,181446,487799,306353,168.83976499895286
Consultant,45,Male,Master,10,137089,274758,137669,100.42308281481374
Data Engineer,49,Female,Bachelor,2,114114,235192,121078,106.102669260564
Data Engineer,60,Male,Bachelor,29,171871,342066,170195,99.02485003287349
Data Engineer,28,Female,PhD,0,191140,549487,358347,187.4788113424715
Project Manager,25,Female,PhD,2,135425,277173,141748,104.66900498430867
Designer,48,Other,High School,0,71895,100439,28544,39.70234369566729
Designer,62,Other,Master,10,120388,188035,67647,56.190816360434596
Software Engineer,57,Other,Bachelor,16,149303,310592,161289,108.02796996711386
Product Manager,56,Other,PhD,13,175477,390803,215326,122.70895900887295
Software Engineer,39,Other,PhD,17,208670,581912,373242,178.86711074902956
Data Scientist,27,Other,Master,2,156418,378532,222114,142.00028129754887
DevOps Engineer,24,Other,Master,1,161198,390100,228902,142.00052109827666
Consultant,53,Male,Bachelor,31,118463,206220,87757,74.07967044562437
Software Engineer,55,Male,High School,14,120489,225326,104837,87.00960253633112
Consultant,39,Female,High School,6,99257,163225,63968,64.4468400213587
Consultant,29,Female,Bachelor,2,105309,199543,94234,89.48333000978074
Software Engineer,46,Female,High School,23,148101,285937,137836,93.06891918353017
DevOps Engineer,43,Male,High School,2,104923,187016,82093,78.24118639383167
Data Scientist,64,Male,Bachelor,16,131784,250883,119099,90.3744005342075
Business Analyst,60,Male,Bachelor,33,109524,166460,56936,51.984953069646835
Software Engineer,26,Male,Master,4,185465,506106,320641,172.88491089963065
Data Engineer,61,Male,High School,8,105968,190782,84814,80.03736977200664
Consultant,64,Male,Bachelor,35,133463,232332,98869,74.07970748447134
Designer,50,Female,Bachelor,5,99811,147744,47933,48.023764915690656
Software Engineer,22,Other,Bachelor,0,124920,290349,165429,132.4279538904899
Software Engineer,39,Male,PhD,10,203887,568574,364687,178.86721566357835
Software Engineer,62,Female,PhD,35,250891,666292,415401,165.57030742433966
Data Scientist,63,Female,Master,23,164300,354055,189755,115.49300060864273
Project Manager,34,Female,Bachelor,0,80689,131433,50744,62.888373879958856
Business Analyst,38,Female,High School,14,87779,127764,39985,45.5518973786441
Designer,55,Female,Master,3,115010,179635,64625,56.19076602034606
Project Manager,28,Female,Bachelor,5,93771,160174,66403,70.81400432969681
Software Engineer,64,Female,PhD,28,235377,625091,389714,165.57012792243933
Consultant,33,Other,Master,9,127383,255305,127922,100.42313338514559
Data Engineer,59,Other,Bachelor,7,119757,238346,118589,99.02469166729293
Software Engineer,28,Other,High School,2,115011,236600,121589,105.71945292189442
Consultant,51,Other,Master,28,167676,324944,157268,93.79279085856056
DevOps Engineer,62,Male,Bachelor,33,163502,311265,147763,90.37381805727148
Data Scientist,38,Female,Master,5,142784,319869,177085,124.02299977588524
Consultant,43,Female,Master,2,124193,248911,124718,100.42272913932347
Data Engineer,56,Female,High School,0,100804,181484,80680,80.03650648783778
Designer,22,Male,High School,0,75452,108926,33474,44.36462916821291
Product Manager,61,Other,PhD,25,192346,428372,236026,122.70907635199069
Software Engineer,64,Female,PhD,16,220455,585463,365008,165.57029779320044
Business Analyst,28,Male,Master,3,100510,178981,78471,78.07282857427121
DevOps Engineer,37,Female,Bachelor,6,127981,251757,123776,96.71435603722428
Data Scientist,38,Female,Bachelor,4,129169,254094,124925,96.71438193374571
Designer,41,Male,PhD,0,106849,180790,73941,69.20139636309185
Product Manager,40,Female,Bachelor,17,135491,254335,118844,87.71357507140695
Software Engineer,47,Other,Master,12,194832,487265,292433,150.09495360105117
Software Engineer,48,Male,Master,24,212902,532457,319555,150.09487933415375
Data Scientist,54,Female,Master,15,182284,392809,210525,115.49285729959844
Business Analyst,50,Female,PhD,25,155053,279647,124594,80.35574932442455
Data Engineer,55,Male,Master,32,208175,472853,264678,127.14206797165846
Business Analyst,53,Other,Master,30,131618,217061,85443,64.91741251196645
Business Analyst,35,Male,High School,3,69408,101025,31617,45.552385892116185
Business Analyst,47,Other,Bachelor,1,79388,123287,43899,55.29677029273946
Product Manager,54,Male,Bachelor,9,128716,234344,105628,82.06283601106311
Data Engineer,53,Male,PhD,14,198574,497474,298900,150.52323063442344
Software Engineer,23,Female,PhD,0,167581,514931,347350,207.27290086584995
Business Analyst,46,Other,High School,22,88311,128538,40227,45.55151679858681
Software Engineer,46,Female,Master,4,154200,385646,231446,150.09468223086898
Product Manager,45,Male,Bachelor,7,112686,211527,98841,87.7136467706725
Software Engineer,23,Male,High School,1,114074,234673,120599,105.71997124673457
Project Manager,38,Male,High School,15,89842,136219,46377,51.62062287126289
Product Manager,50,Female,High School,23,118018,202070,84052,71.21964446101443
Software Engineer,41,Female,Bachelor,4,134819,291064,156245,115.89241872436378
Software Engineer,50,Female,High School,3,120252,232169,111917,93.06872234973223
DevOps Engineer,64,Other,PhD,8,157560,372232,214672,136.24777862401623
Product Manager,47,Other,Master,19,173441,367569,194128,111.9273989425799
Software Engineer,24,Male,Bachelor,1,145874,339052,193178,132.4279857959609
Data Engineer,33,Male,High School,0,94078,174535,80457,85.52158846914263
Data Engineer,47,Male,Master,2,157463,372772,215309,136.7362491505941
DevOps Engineer,28,Female,High School,5,120973,228044,107071,88.50817951113058
Project Manager,22,Female,High School,0,69448,109670,40222,57.91671466420919
Designer,29,Female,PhD,4,138053,245836,107783,78.07363838525784
Designer,62,Other,PhD,13,138610,228592,89982,64.91739412740783
